time,swag
1,66.83100574
2,83.89043851
3,75.75042275
4,95.12921592
5,82.8252184
6,13.5469957
7,13.75053052
8,71.97604653
9,14.42457413
10,34.66693893
11,95.56281991
12,44.80893212
13,73.69008888
14,87.87268039
15,49.60578316
16,50.54168688
17,19.36006878
18,96.20445612
19,47.33409831
20,90.19347358
21,34.57462119
22,79.36381129
23,4.028168555
24,2.400537418
25,4.736023531
26,56.98958242
27,56.5421616
28,94.96355581
29,20.42628839
30,92.47554093
31,22.19015913
32,9.864432623
33,78.81521149
34,92.44955099
35,12.08079026
36,40.37430619
37,97.06196848
38,82.22867164
39,95.32151742
40,10.47886361
41,23.43881418
42,20.78841648
43,73.04489998
44,40.9805443
45,55.45936389
46,3.310312795
47,22.66835719
48,35.93422922
49,42.92189343
50,30.93800473
